"Name","Assignment 1","Assignment 2","Assignment 3","Assignment 4","Assignment 5","Assignment 6","Assignment 7","Assignment 8","Assignment 9","Assignment 10"
"Student 1",100,90,100,88,8,100,90,100,88,8
"Student 2",90,80,95,77,6,90,80,95,77,6
"Student 3",80,70,90,66,7,80,70,90,66,7
"Student 4",70,60,85,55,5,70,60,85,55,5
"Student 5",60,50,80,44,3,60,50,80,44,3
"Student 6",50,60,75,33,0,50,60,75,33,0
"Student 7",60,70,70,22,9,60,70,70,22,9
"Student 8",70,80,65,11,9,70,80,65,11,9
"Student 9",80,90,60,99,9,80,90,60,99,9
"Student 10",90,100,55,100,9,90,100,55,100,9
